ds,y
1981-08-21,0.06473062187433243
1981-08-24,0.06644604355096817
1981-08-25,0.06515929847955704
1981-08-26,0.06558798253536224
1981-08-27,0.06901796162128448
1981-08-28,0.06901796162128448
1981-08-31,0.07330447435379028
1981-09-01,0.07459046691656113
1981-09-02,0.07073258608579636
1981-09-03,0.06987527012825012
1981-09-04,0.06773202866315842
1981-09-08,0.06773202866315842
1981-09-09,0.06816068291664124
1981-09-10,0.067303366959095
1981-09-11,0.06515929847955704
1981-09-14,0.06344468146562576
1981-09-15,0.062158722430467606
1981-09-16,0.06044411286711693
1981-09-17,0.060872744768857956
1981-09-18,0.06130143254995346
1981-09-21,0.057872191071510315
1981-09-22,0.05658620223402977
1981-09-23,0.05615754425525665
1981-09-24,0.04886966943740845
1981-09-25,0.04929831624031067
